code,name
11101,Suspended particulate (TSP)
11102,Suspended particulate (TSP) LC
11103,Benzene soluble organics (TSP)
11104,Total polynuclear hydrocarbons
11114,Windblown particulate
11121,Crystalline quartz
11122,Cristabalite
11123,Asbestos > 5um
11124,Asbestos > 0.5um
11125,Total non-asbestos fibers
11201,Soil index (COH)
11202,Soil index (RUD)
11203,Light scatter
11204,Smoke
11205,Soil index (ug/m3)
11206,Light scatter (ug/m3)
11207,Light scatter (miles visibility)
11208,Deciview
11301,Alpha radiation (TSP)
11302,Beta radiation (TSP)
11343,Antimony - 121 (TSP)
11344,Arsenic - 75 (TSP)
11345,Chromium - 50 (TSP)
11346,Chromium - 52 (TSP)
11347,Chromium - 53 (TSP)
11348,Cobalt - 59 (TSP)
11349,Copper - 63 (TSP)
11350,Iron - 56 (TSP)
11351,Lead - 208 (TSP)
11352,Manganese - 55 (TSP)
11353,Molybdenum - 98 (TSP)
11354,Nickel - 60 (TSP)
11355,Strontium - 88 (TSP)
11356,Tin - 117 (TSP)
11357,Zinc - 66 (TSP)
11358,Iron - 57 (TSP)
11359,Nickel - 58 (TSP)
11360,Zinc - 64 (TSP)
11361,Tin - 120 (TSP)
11362,Vanadium - 51 (TSP)
12101,Aluminum (TSP) STP
12102,Antimony (TSP) STP
12103,Arsenic (TSP) STP
12105,Beryllium (TSP) STP
12106,Bismuth (TSP) STP
12107,Barium (TSP) STP
12109,Bromine (TSP) STP
12110,Cadmium (TSP) STP
12111,Calcium (TSP) STP
12112,Chromium (TSP) STP
12113,Cobalt (TSP) STP
12114,Copper (TSP) STP
12115,Chromium VI (TSP) STP
12117,Cerium (TSP) STP
12118,Cesium (TSP) STP
12121,Europium (TSP) STP
12124,Gallium (TSP) STP
12125,Germanium (TSP) STP
12126,Iron (TSP) STP
12127,Hafnium (TSP) STP
12128,Lead (TSP) STP
12129,Lead-210 (TSP) STP
12131,Indium (TSP) STP
12132,Manganese (TSP) STP
12133,Iridium (TSP) STP
12134,Molybdenum (TSP) STP
12136,Nickel (TSP) STP
12138,Thorium-230 (TSP) STP
12139,Thorium-232 (TSP) STP
12140,Magnesium (TSP) STP
12142,Mercury (TSP) STP
12143,Gold (TSP) STP
12146,Lanthanum (TSP) STP
12147,Niobium (TSP) STP
12150,Platinum (TSP) STP
12151,Palladium (TSP) STP
12152,Phosphorus (TSP) STP
12153,Polonium-210 (TSP) STP
12154,Selenium (TSP) STP
12160,Tin (TSP) STP
12161,Titanium (TSP) STP
12162,Samarium (TSP) STP
12163,Scandium (TSP) STP
12164,Vanadium (TSP) STP
12165,Silicon (TSP) STP
12166,Silver (TSP) STP
12167,Zinc (TSP) STP
12168,Strontium (TSP) STP
12169,Sulfur (TSP) STP
12170,Tantalum (TSP) STP
12171,Tellurium and compounds as Te (TSP) STP
12172,Terbium (TSP) STP
12173,Thallium (TSP) STP
12176,Rubidium (TSP) STP
12178,Tungsten (TSP) STP
12179,Uranium (TSP) STP
12180,Potassium (TSP) STP
12183,Yttrium (TSP) STP
12184,Sodium (TSP) STP
12185,Zirconium (TSP) STP
12187,Radium-226 (TSP) STP
12188,Radium-228 (TSP) STP
12190,Boron (TSP) STP
12191,Chlorine (TSP) STP
12201,Bromide (TSP) STP
12202,Fluoride (TSP) STP
12203,Chloride (TSP) STP
12204,Iodide (TSP) STP
12208,Fluoride (vegation)
12209,Fluoride (paper samplers)
12301,Ammonium (TSP) STP
12306,Nitrate (TSP) STP
12309,Nitrite (TSP) STP
12345,Phosphate (TSP) STP
12402,Sulfuric acid (TSP) STP
12403,Sulfate (TSP) STP
12602,Hydrogen ion conc (TSP) STP
12803,Asbestos amphibole (TSP)
13115,Chlorine (TSP)
14101,Aluminum (TSP) LC
14102,Antimony (TSP) LC
14103,Arsenic (TSP) LC
14105,Beryllium (TSP) LC
14107,Barium (TSP) LC
14110,Cadmium (TSP) LC
14111,Calcium (TSP) LC
14112,Chromium (TSP) LC
14113,Cobalt (TSP) LC
14114,Copper(TSP) LC
14115,Chromium VI (TSP) LC
14126,Iron (TSP) LC
14128,Lead (TSP) LC Non-FRM/FEM
14129,Lead (TSP) LC
14132,Manganese (TSP) LC
14134,Molybdenum(TSP) LC
14136,Nickel (TSP) LC
14140,Magnesium (TSP) LC
14142,Mercury (TSP) LC
14154,Selenium (TSP) LC
14160,Tin (TSP) LC
14164,Vanadium (TSP) LC
14166,Silver (TSP) LC
14167,Zinc (TSP) LC
14173,Thallium (TSP) LC
14306,Nitrate (TSP) LC
14403,Sulfate (TSP) LC
16111,Carbon black (TSP)
16115,Paraffins (alkanes)
16117,Tridymite
16118,Aroclor 1060
16119,Aroclor1221
16120,Aroclor 1232
16121,Aroclor 1242
16122,Aroclor 1248
16123,Aroclor 1254
16127,>=C10 Alkenes
16128,C4-C9 Alkenes
16210,n-Hexadecane
16212,4-Phenylcyclohexene
16320,Cellulose (TSP)
16521,Methyl isoamyl ketone
16601,"1,2-Epoxybutane (TSP)STP"
16714,Hexamethylene diisocyanate
16722,N-Nitrosodimethylamine (TSP) STP
16724,"1,2,4,5-Tetrachlorobenzene (TSP) STP"
16725,"1,2,4-Trichlorobenzene (TSP) STP"
16726,"1,2-Dichlorobenzene (TSP) STP  "
16727,"1,3-Dichlorobenzene (TSP) STP"
16728,"1,3-Dinitrobenzene (TSP) STP"
16729,"1,4-Dichlorobenzene (TSP) STP"
16730,"1,4-Naphthoquinone (TSP) STP"
16731,1-Naphthylamine (TSP) STP
16732,"2,3,4,6-Tetrachlorophenol (TSP) STP"
16733,"2,4,5-Trichlorophenol (TSP) STP"
16734,"2,4,6-Trichlorophenol (TSP) STP"
16735,"2,4-Dichlorophenol (TSP) STP"
16736,"2,4-Dimethylphenol (TSP) STP"
16737,"2,4-Dinitrophenol (TSP) STP"
16738,"2,4-Dinitrotoluene (TSP) STP"
16739,"2,6-Dichlorophenol (TSP) STP"
16740,"2,6-Dinitrotoluene (TSP) STP"
16741,2-Acetylaminofluorene (TSP) STP
16742,2-Chloronaphthalene (TSP) STP
16743,2-Chlorophenol  (TSP) STP
16744,2-Naphthylamine  (TSP) STP
16745,2-Nitroaniline  (TSP) STP
16746,2-Nitrophenol  (TSP) STP
16747,2-Picoline  (TSP) STP
16748,"3,3'-Dimethoxybenzidine  (TSP) STP"
16749,3-Methylcholanthrene  (TSP) STP
16750,3-Nitroaniline  (TSP) STP
16751,"4,6-Dinitro-2-methylphenol  (TSP) STP"
16752,4-Aminobiphenyl  (TSP) STP
16753,4-Bromophenyl phenyl ether  (TSP) STP
16754,4-Chloro-3-methylphenol  (TSP) STP
16755,4-Chloroaniline  (TSP) STP
16756,4-Chlorophenyl-phenyl ether  (TSP) STP
16757,4-Dimethylaminoazobenzene  (TSP) STP
16758,4-Nitroaniline  (TSP) STP
16759,4-Nitrophenol  (TSP) STP
16760,5-Nitro-o-toluidine  (TSP) STP
16761,"7,12-Dimethylbenz[a]anthracene  (TSP) STP"
16762,Acetophenone  (TSP) STP
16763,Aniline  (TSP) STP
16764,Azobenzene  (TSP) STP
16765,Benzidine  (TSP) STP
16766,Benzyl alcohol  (TSP) STP
16767,bis (2-chloroethyl)ether  (TSP) STP
16768,bis(2-chloroethoxy)methane  (TSP) STP
16769,bis(2-chloroisopropyl)ether  (TSP) STP
16770,bis(2-ethylhexyl)phthalate  (TSP) STP
16771,Butyl benzyl phthalate  (TSP) STP
16772,Carbazole (TSP) STP
16773,Chlorobenzilate  (TSP) STP
16774,Diallate  (TSP) STP
16775,Diethyl phthalate  (TSP) STP
16776,Dimethyl phthalate  (TSP) STP
16777,Di-n-butyl phthalate  (TSP) STP
16778,Di-n-octyl phthalate  (TSP) STP
16779,Dinoseb  (TSP) STP
16780,Diphenylamine  (TSP) STP
16781,Ethyl methanesulfonate  (TSP) STP
16782,Hexachlorobutadiene  (TSP) STP
16783,Hexachloropropene  (TSP) STP
16784,Isodrin  (TSP) STP
16785,Isosafrole  (TSP) STP
16786,m and p-Cresol  (TSP) STP
16787,Methyl methanesulfonate  (TSP) STP
16788,Nitrobenzene (TSP) STP
16789,N-Nitrosodibutylamine  (TSP) STP
16790,N-Nitrosodiethylamine  (TSP) STP
16791,N-Nitrosodipropylamine  (TSP) STP
16792,N-Nitrosomethylethylamine  (TSP) STP
16793,N-Nitrosopiperidine  (TSP) STP
16794,N-Nitrosopyrrolidine  (TSP) STP
16795,Pentachloroethane  (TSP) STP
16796,Phenacetin  (TSP) STP
16797,Phenol  (TSP) STP
16798,Pronamide (TSP) STP
16799,Pyridine (TSP) STP
16801,Safrole (TSP) STP
16807,Hexachloroethane (TSP) STP
16822,"1,2-Dichlorotetrafluoroethane"
16826,Hexachlorocyclopentadiene (TSP) STP
16901,Epichlorohydrin(DUP)
16906,"1,4-Dioxin"
16914,Isophorone (TSP) STP
16915,2-Methylnaphthalene (TSP) STP
16916,Freon 12
16917,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin (TSP) STP"
16918,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin (TSP) STP"
16919,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin (TSP) STP"
16920,"1,2,3,7,8-Pentachlorodibenzofuran (TSP) STP"
